pile,player,pi_take1,pi_take2,pi_take3,z
6,1,0.088608,0.860759,0.050633,1.000
4,-1,0.430380,0.354430,0.215190,-1.000
2,1,0.037975,0.962025,0.000000,1.000
6,1,0.088608,0.860759,0.050633,-1.000
4,-1,0.430380,0.354430,0.215190,1.000
3,1,0.037975,0.025316,0.936709,-1.000
2,-1,0.037975,0.962025,0.000000,1.000
2,1,0.037975,0.962025,0.000000,1.000
1,1,1.000000,0.000000,0.000000,1.000
7,1,0.088608,0.088608,0.822785,1.000
4,-1,0.430380,0.354430,0.215190,-1.000
2,1,0.037975,0.962025,0.000000,1.000
11,1,0.341772,0.329114,0.329114,1.000
10,-1,0.367089,0.354430,0.278481,-1.000
8,1,0.367089,0.341772,0.291139,1.000
7,-1,0.088608,0.088608,0.822785,-1.000
5,1,0.911392,0.050633,0.037975,1.000
4,-1,0.430380,0.354430,0.215190,-1.000
3,1,0.037975,0.025316,0.936709,1.000
9,1,0.417722,0.303797,0.278481,1.000
8,-1,0.367089,0.341772,0.291139,-1.000
6,1,0.088608,0.860759,0.050633,1.000
4,-1,0.430380,0.354430,0.215190,-1.000
2,1,0.037975,0.962025,0.000000,1.000
4,1,0.430380,0.354430,0.215190,-1.000
3,-1,0.037975,0.025316,0.936709,1.000
10,1,0.367089,0.354430,0.278481,1.000
9,-1,0.417722,0.303797,0.278481,-1.000
8,1,0.367089,0.341772,0.291139,1.000
6,-1,0.088608,0.860759,0.050633,-1.000
5,1,0.911392,0.050633,0.037975,1.000
4,-1,0.430380,0.354430,0.215190,-1.000
2,1,0.037975,0.962025,0.000000,1.000
2,1,0.037975,0.962025,0.000000,1.000
2,1,0.037975,0.962025,0.000000,1.000
12,1,0.341772,0.329114,0.329114,-1.000
10,-1,0.367089,0.354430,0.278481,1.000
9,1,0.417722,0.303797,0.278481,-1.000
6,-1,0.088608,0.860759,0.050633,1.000
4,1,0.430380,0.354430,0.215190,-1.000
3,-1,0.037975,0.025316,0.936709,1.000
2,1,0.037975,0.962025,0.000000,1.000
8,1,0.367089,0.341772,0.291139,-1.000
6,-1,0.088608,0.860759,0.050633,1.000
4,1,0.430380,0.354430,0.215190,-1.000
3,-1,0.037975,0.025316,0.936709,1.000
6,1,0.088608,0.860759,0.050633,-1.000
5,-1,0.911392,0.050633,0.037975,1.000
4,1,0.430380,0.354430,0.215190,-1.000
2,-1,0.037975,0.962025,0.000000,1.000
5,1,0.911392,0.050633,0.037975,1.000
4,-1,0.430380,0.354430,0.215190,-1.000
2,1,0.037975,0.962025,0.000000,1.000
5,1,0.911392,0.050633,0.037975,1.000
4,-1,0.430380,0.354430,0.215190,-1.000
1,1,1.000000,0.000000,0.000000,1.000
7,1,0.088608,0.088608,0.822785,1.000
4,-1,0.430380,0.354430,0.215190,-1.000
2,1,0.037975,0.962025,0.000000,1.000
1,1,1.000000,0.000000,0.000000,1.000
6,1,0.088608,0.860759,0.050633,1.000
4,-1,0.430380,0.354430,0.215190,-1.000
2,1,0.037975,0.962025,0.000000,1.000
8,1,0.367089,0.341772,0.291139,-1.000
5,-1,0.911392,0.050633,0.037975,1.000
4,1,0.430380,0.354430,0.215190,-1.000
2,-1,0.037975,0.962025,0.000000,1.000
2,1,0.037975,0.962025,0.000000,-1.000
1,-1,1.000000,0.000000,0.000000,1.000
10,1,0.367089,0.354430,0.278481,1.000
8,-1,0.367089,0.341772,0.291139,-1.000
5,1,0.911392,0.050633,0.037975,1.000
4,-1,0.430380,0.354430,0.215190,-1.000
2,1,0.037975,0.962025,0.000000,1.000
12,1,0.341772,0.329114,0.329114,1.000
10,-1,0.367089,0.354430,0.278481,-1.000
7,1,0.088608,0.088608,0.822785,1.000
4,-1,0.430380,0.354430,0.215190,-1.000
3,1,0.037975,0.025316,0.936709,1.000
7,1,0.088608,0.088608,0.822785,1.000
4,-1,0.430380,0.354430,0.215190,-1.000
1,1,1.000000,0.000000,0.000000,1.000
7,1,0.088608,0.088608,0.822785,1.000
5,-1,0.911392,0.050633,0.037975,-1.000
3,1,0.037975,0.025316,0.936709,1.000
11,1,0.341772,0.329114,0.329114,1.000
9,-1,0.417722,0.303797,0.278481,-1.000
7,1,0.088608,0.088608,0.822785,1.000
4,-1,0.430380,0.354430,0.215190,-1.000
3,1,0.037975,0.025316,0.936709,1.000
11,1,0.341772,0.329114,0.329114,1.000
8,-1,0.367089,0.341772,0.291139,-1.000
5,1,0.911392,0.050633,0.037975,1.000
4,-1,0.430380,0.354430,0.215190,-1.000
3,1,0.037975,0.025316,0.936709,1.000
5,1,0.911392,0.050633,0.037975,1.000
4,-1,0.430380,0.354430,0.215190,-1.000
3,1,0.037975,0.025316,0.936709,1.000
1,1,1.000000,0.000000,0.000000,1.000
5,1,0.911392,0.050633,0.037975,1.000
4,-1,0.430380,0.354430,0.215190,-1.000
2,1,0.037975,0.962025,0.000000,1.000
9,1,0.417722,0.303797,0.278481,-1.000
7,-1,0.088608,0.088608,0.822785,1.000
4,1,0.430380,0.354430,0.215190,-1.000
3,-1,0.037975,0.025316,0.936709,1.000
1,1,1.000000,0.000000,0.000000,1.000
11,1,0.341772,0.329114,0.329114,1.000
8,-1,0.367089,0.341772,0.291139,-1.000
6,1,0.088608,0.860759,0.050633,1.000
4,-1,0.430380,0.354430,0.215190,-1.000
3,1,0.037975,0.025316,0.936709,1.000
12,1,0.341772,0.329114,0.329114,-1.000
9,-1,0.417722,0.303797,0.278481,1.000
6,1,0.088608,0.860759,0.050633,-1.000
3,-1,0.037975,0.025316,0.936709,1.000
4,1,0.430380,0.354430,0.215190,-1.000
2,-1,0.037975,0.962025,0.000000,1.000
7,1,0.088608,0.088608,0.822785,1.000
4,-1,0.430380,0.354430,0.215190,-1.000
2,1,0.037975,0.962025,0.000000,1.000
2,1,0.037975,0.962025,0.000000,1.000
3,1,0.037975,0.025316,0.936709,1.000
11,1,0.341772,0.329114,0.329114,1.000
8,-1,0.367089,0.341772,0.291139,-1.000
5,1,0.911392,0.050633,0.037975,1.000
4,-1,0.430380,0.354430,0.215190,-1.000
2,1,0.037975,0.962025,0.000000,1.000
2,1,0.037975,0.962025,0.000000,1.000
7,1,0.088608,0.088608,0.822785,1.000
4,-1,0.430380,0.354430,0.215190,-1.000
3,1,0.037975,0.025316,0.936709,1.000
8,1,0.367089,0.341772,0.291139,-1.000
7,-1,0.088608,0.088608,0.822785,1.000
4,1,0.430380,0.354430,0.215190,-1.000
2,-1,0.037975,0.962025,0.000000,1.000
9,1,0.417722,0.303797,0.278481,-1.000
6,-1,0.088608,0.860759,0.050633,1.000
4,1,0.430380,0.354430,0.215190,-1.000
3,-1,0.037975,0.025316,0.936709,1.000
10,1,0.367089,0.354430,0.278481,-1.000
7,-1,0.088608,0.088608,0.822785,1.000
4,1,0.430380,0.354430,0.215190,-1.000
2,-1,0.037975,0.962025,0.000000,1.000
2,1,0.037975,0.962025,0.000000,1.000
3,1,0.037975,0.025316,0.936709,1.000
6,1,0.088608,0.860759,0.050633,1.000
4,-1,0.430380,0.354430,0.215190,-1.000
3,1,0.037975,0.025316,0.936709,1.000
1,1,1.000000,0.000000,0.000000,1.000
6,1,0.088608,0.860759,0.050633,1.000
4,-1,0.430380,0.354430,0.215190,-1.000
1,1,1.000000,0.000000,0.000000,1.000
